date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:17	36345/36345	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:26%20GMT	https://www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/safenet-authentication-manager/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/safenet-authentication-manager/index.html	(from https://www.sitepro.com.ar/web/)
09:37:17	35937/35937	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:26%20GMT	https://www.sitepro.com.ar/web/productos/proteccion-de-software/hardkey-web/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-software/hardkey-web/index.html	(from https://www.sitepro.com.ar/web/)
09:37:18	36769/36769	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:26%20GMT	https://www.sitepro.com.ar/web/distribuidores/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/distribuidores/index.html	(from https://www.sitepro.com.ar/web/)
09:37:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Jan%202019%2012:37:26%20GMT	https://www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/safenet-authentication-manager	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/safenet-authentication-manager	(from https://www.sitepro.com.ar/web/)
09:37:18	36718/36718	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:27%20GMT	https://www.sitepro.com.ar/web/productos/proteccion-de-software/llaves-hardkey/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-software/llaves-hardkey/index.html	(from https://www.sitepro.com.ar/web/)
09:37:18	96930/96930	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:27%20GMT	https://www.sitepro.com.ar/web/contacto/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/contacto/index.html	(from https://www.sitepro.com.ar/web/)
09:37:20	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Jan%202019%2012:37:27%20GMT	http://www.sitepro.com.ar/web/productos/proteccion-de-software/llaves-hardkey	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-software/llaves-hardkey.29.delayed	(from https://www.sitepro.com.ar/web/)
09:37:20	34845/34845	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:28%20GMT	https://www.sitepro.com.ar/web/pago-online/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/pago-online/index.html	(from https://www.sitepro.com.ar/web/)
09:37:20	39708/39708	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:27%20GMT	https://www.sitepro.com.ar/web/novedades/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/novedades/index.html	(from https://www.sitepro.com.ar/web/)
09:37:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Jan%202019%2012:37:29%20GMT	https://www.sitepro.com.ar/web/productos/proteccion-de-software/llaves-hardkey	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-software/llaves-hardkey	(from https://www.sitepro.com.ar/web/)
